		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.240234	M = 131	N = 8	m = 9	n = 1050
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111101110    0    1    1    0    1    0    0    1 10.267561 0.246747 SUCCESS 139
111110000    0    1    0    0    0    1    0    0  6.067021 0.639725 SUCCESS 140
111110010    0    0    1    0    1    0    0    0  6.067021 0.639725 SUCCESS 141
111110100    1    0    0    1    0    1    0    0  8.167291 0.417302 SUCCESS 142
111110110    1    0    0    1    1    0    0    0  8.167291 0.417302 SUCCESS 143
111111000    0    1    1    1    0    1    0    0 10.267561 0.246747 SUCCESS 144
111111010    1    0    0    0    0    0    0    0  3.966751 0.860111 SUCCESS 145
111111100    0    1    1    2    0    1    0    0 20.453080 0.008751 FAILURE 146
111111110    0    1    1    2    1    1    0    0 22.553350 0.003988 FAILURE 147

